scientificname	longitude	latitude
Neoseiulus anonymus	-54.75	-17.3834
Euseius citrifolius	-49.6105	-20.7838
Typhlodromips japi	-46.9413	-23.2325
Phytoseius nahuatlensis	-48.4119	-17.3258
Iphiseiodes zuluagai	-52.6664	-18.393
Euseius concordis	-54.75	-17.3834
Euseius concordis	-54.75	-17.3834
Euseius citrifolius	-49.6908	-20.7622
Euseius concordis	-44.2926	-2.5335
Euseius concordis	-48.6833	-21.4
Euseius concordis	-54.75	-17.3834
Euseius sibelius	-49.3594	-20.7855
Amblyseius herbicolus	-48.175	-17.4389
Leonseius regularis	-39.2313	-14.7555
Euseius citrifolius	-49.3619	-20.7488
Euseius concordis	-48.6311	-21.4441
Iphiseiodes zuluagai	-48.5372	-21.6205
Typhlodromalus aripo	-49.4338	-20.8322
Euseius citrifolius	-49.2698	-20.9029
Euseius citrifolius	-49.2698	-20.9029
Euseius citrifolius	-49.3619	-20.7488
Euseius citrifolius	-49.3619	-20.7488
Euseius sibelius	-49.3594	-20.7855
Galendromus annectens	-49.3594	-20.7855
Euseius concordis	-67.65	-10.05
Galendromus annectens	-49.3544	-20.7758
Neoseiulus tunus	-50.4333	-20
Iphiseiodes zuluagai	-48.6925	-18.6027
Amblyseius chiapensis	-49.9288	-21.0345
Iphiseiodes zuluagai	-48.6311	-21.4441
Iphiseiodes zuluagai	-48.6311	-21.4441
Amblyseius acalyphus	-49.9738	-21.0013
Euseius citrifolius	-49.9602	-20.7907
Euseius citrifolius	-47.6047	-16.754
Euseius concordis	-54.75	-17.3834
Proprioseiopsis cannaensis	-49.5004	-21.3425
Euseius concordis	-54.75	-17.3834
Euseius citrifolius	-49.3594	-20.7855
Euseius citrifolius	-49.3544	-20.7758
Euseius citrifolius	-49.9602	-20.7907
Proprioseiopsis neotropicus	-48.8225	-20.4847
Euseius concordis	-54.75	-17.3834
Phytoseius nahuatlensis	-49.3666	-20.4666
Phytoseius jatoba	-49.9648	-20.8072
Amblyseius chiapensis	-67.87	-9.96
Euseius concordis	-49.3619	-20.7488
Euseius plaudus	-49.3168	-20.5319
Iphiseiodes zuluagai	-52.6664	-18.393
Amblyseius compositus	-49.4338	-20.8322
Euseius sibelius	-49.3168	-20.5319
Euseius citrifolius	-49.3619	-20.7488
Euseius citrifolius	-49.3544	-20.7758
Phytoseius guianensis	-49.3166	-20.7666
Euseius citrifolius	-49.3077	-20.8463
Typhlodromalus aripo	-48.0805	-17.4078
Euseius sibelius	-49.3594	-20.7855
Typhlodromus moraesi	-49.3594	-20.7855
Euseius citrifolius	-49.7925	-20.7405
Transeius bellottii	-49.4338	-20.8322
Euseius alatus	-67.8746	-9.9573
Euseius concordis	-54.75	-17.3834
Euseius citrifolius	-49.3594	-20.7855
Euseius citrifolius	-49.62	-20.8005
Euseius concordis	-54.75	-17.3834
Galendromus annectens	-49.3166	-20.7666
Neoseiulus neoaurescens	-48.9147	-21.228
Typhlodromalus feresi	-49.3799	-20.8111
Euseius alatus	-39.1541	-13.7747
Phytoseius jatoba	-49.9648	-20.8072
Euseius sibelius	-49.3166	-20.7833
Phytoseius guianensis	-48.633	-17.3367
Euseius alatus	-44.2926	-2.5335
Euseius concordis	-54.75	-17.3834
Euseius citrifolius	-48.6311	-21.4441
Phytoseius guianensis	-49.4338	-20.8322
Typhlodromalus aripo	-49.3168	-20.5319
Euseius citrifolius	-49.7461	-20.748
Euseius citrifolius	-49.3594	-20.7855
Euseius citrifolius	-49.6908	-20.7622
Amblydromalus limonicus	-50.2933	-20.4736
Euseius concordis	-54.75	-17.3834
Euseius concordis	-54.75	-17.3834
Euseius alatus	-63.9011	-8.7318
Euseius citrifolius	-54.75	-17.3834
Galendromimus multipoculi	-49.2212	-21.4691
Euseius citrifolius	-49.62	-20.8005
Euseius citrifolius	-49.3619	-20.7488
Euseius concordis	-54.6315	-16.4715
Euseius citrifolius	-49.3594	-20.7855
Euseius citrifolius	-48.9147	-21.228
