"species_search"	"decimalLongitude"	"decimalLatitude"
"Amblyseius herbicolus"	-28.09136	38.43595
"Amblyseius herbicolus"	-28.09716	38.4404
"Amblyseius herbicolus"	-28.10296	38.44485
"Amblyseius herbicolus"	-28.17177	38.44869
"Amblyseius herbicolus"	-28.16604	38.44875
"Amblyseius herbicolus"	-28.1374	38.44903
"Amblyseius herbicolus"	-28.17757	38.45314
"Amblyseius herbicolus"	-28.17184	38.45319
"Amblyseius herbicolus"	-25.49385	37.71489
"Amblyseius herbicolus"	-25.48809	37.71932
"Amblyseius herbicolus"	-25.48242	37.71925
"Amblyseius herbicolus"	-25.49367	37.7239
"Amblyseius herbicolus"	-25.488	37.72383
"Amblyseius herbicolus"	-25.49349	37.73291
"Amblyseius herbicolus"	-25.32241	37.77116
"Amblyseius herbicolus"	-25.31096	37.7755
"Amblyseius herbicolus"	-25.3222	37.78017
"Amblyseius herbicolus"	-25.31085	37.78
"Amblyseius herbicolus"	-25.58872	37.79718
"Amblyseius herbicolus"	-25.58305	37.79711
"Amblyseius herbicolus"	-25.59423	37.80626
"Amblyseius herbicolus"	-25.58287	37.80612
"Amblyseius herbicolus"	-25.57143	37.81049
"Amblyseius herbicolus"	-25.56575	37.81042
"Amblyseius herbicolus"	-25.58838	37.8152
"Amblyseius herbicolus"	-25.83792	37.84046
"Amblyseius herbicolus"	-25.83785	37.84496
"Amblyseius herbicolus"	-25.83778	37.84947
"Amblyseius herbicolus"	-25.8321	37.84941
"Amblyseius herbicolus"	-25.79778	37.86259
"Amblyseius herbicolus"	-28.63185	38.52428
"Amblyseius herbicolus"	-28.14327	38.45798
"Amblyseius herbicolus"	-25.59397	37.81977
"Amblyseius herbicolus"	-28.62038	38.52444
"Amblyseius herbicolus"	-28.16046	38.45781
"Amblyseius herbicolus"	-28.15473	38.45787
"Amblyseius herbicolus"	-28.62601	38.51986
"Amblyseius herbicolus"	-28.62028	38.51994
"Amblyseius herbicolus"	-28.72358	38.52297
"Amblyseius herbicolus"	-28.71211	38.52314
"Amblyseius herbicolus"	-28.68918	38.52347
"Amblyseius herbicolus"	-28.67198	38.52372
"Amblyseius herbicolus"	-28.66625	38.5238
"Amblyseius herbicolus"	-28.70649	38.52773
"Amblyseius herbicolus"	-28.69502	38.52789
"Amblyseius herbicolus"	-28.65488	38.52847
"Amblyseius herbicolus"	-28.73526	38.53181
"Amblyseius herbicolus"	-28.72953	38.53189
"Amblyseius herbicolus"	-28.71806	38.53206
"Amblyseius herbicolus"	-28.70097	38.53682
"Amblyseius herbicolus"	-28.67803	38.53715
"Amblyseius herbicolus"	-28.66656	38.53731
"Amblyseius herbicolus"	-28.65509	38.53748
"Amblyseius herbicolus"	-28.74695	38.54065
"Amblyseius herbicolus"	-28.73548	38.54082
"Amblyseius herbicolus"	-28.6896	38.54149
"Amblyseius herbicolus"	-28.66093	38.5419
"Amblyseius herbicolus"	-28.70118	38.54583
"Amblyseius herbicolus"	-28.6725	38.54624
"Amblyseius herbicolus"	-28.7529	38.54957
"Amblyseius herbicolus"	-28.68981	38.5505
"Amblyseius herbicolus"	-28.68408	38.55058
"Amblyseius herbicolus"	-28.61525	38.55155
"Amblyseius herbicolus"	-28.61535	38.55605
"Amblyseius herbicolus"	-28.63266	38.56032
"Amblyseius herbicolus"	-28.61545	38.56056
"Amblyseius herbicolus"	-28.6385	38.56474
"Amblyseius herbicolus"	-28.63276	38.56482
"Amblyseius herbicolus"	-28.62702	38.5649
"Amblyseius herbicolus"	-28.61555	38.56506
"Amblyseius herbicolus"	-28.75908	38.5675
"Amblyseius herbicolus"	-28.64434	38.56917
"Amblyseius herbicolus"	-28.6386	38.56925
"Amblyseius herbicolus"	-28.77066	38.57183
"Amblyseius herbicolus"	-28.75919	38.572
"Amblyseius herbicolus"	-28.06252	38.42269
"Amblyseius herbicolus"	-28.0568	38.42275
"Amblyseius herbicolus"	-28.05107	38.4228
"Amblyseius herbicolus"	-28.06832	38.42715
"Amblyseius herbicolus"	-28.06259	38.4272
"Amblyseius herbicolus"	-28.05693	38.43176
"Amblyseius herbicolus"	-28.09143	38.44045
"Amblyseius herbicolus"	-28.09723	38.4449
"Amblyseius herbicolus"	-28.0915	38.44496
"Amblyseius herbicolus"	-28.15458	38.44886
"Amblyseius herbicolus"	-28.14313	38.44897
"Amblyseius herbicolus"	-28.1833	38.45308
"Amblyseius herbicolus"	-28.15466	38.45336
"Amblyseius herbicolus"	-28.1432	38.45348
"Amblyseius herbicolus"	-28.17765	38.45764
"Amblyseius herbicolus"	-25.49376	37.7194
"Amblyseius herbicolus"	-25.49358	37.72841
"Amblyseius herbicolus"	-25.48791	37.72833
"Amblyseius herbicolus"	-25.48781	37.73284
"Amblyseius herbicolus"	-25.48763	37.74185
"Amblyseius herbicolus"	-25.32251	37.76665
"Amblyseius herbicolus"	-25.31116	37.76649
"Amblyseius herbicolus"	-25.31106	37.77099
"Amblyseius herbicolus"	-25.30538	37.77091
"Amblyseius herbicolus"	-25.31663	37.77558
"Amblyseius herbicolus"	-25.31653	37.78009
"Amblyseius herbicolus"	-25.58864	37.80168
"Amblyseius herbicolus"	-25.58296	37.80162
"Amblyseius herbicolus"	-25.57711	37.81056
"Amblyseius herbicolus"	-25.59406	37.81527
"Amblyseius herbicolus"	-25.57134	37.815
"Amblyseius herbicolus"	-25.83217	37.84491
"Amblyseius herbicolus"	-25.79793	37.85358
"Amblyseius herbicolus"	-25.79225	37.85352
"Amblyseius herbicolus"	-25.79217	37.85802
"Amblyseius herbicolus"	-25.7921	37.86253
"Amblyseius herbicolus"	-25.79771	37.86709
"Amblyseius herbicolus"	-28.63174	38.51978
"Amblyseius herbicolus"	-28.13747	38.45353
"Amblyseius herbicolus"	-28.60378	38.55171
"Amblyseius herbicolus"	-28.149	38.45793
"Amblyseius herbicolus"	-28.60961	38.55613
"Amblyseius herbicolus"	-28.62611	38.52436
"Amblyseius herbicolus"	-28.16619	38.45776
"Amblyseius herbicolus"	-25.48818	37.71482
"Amblyseius herbicolus"	-28.62018	38.51544
"Amblyseius herbicolus"	-28.06266	38.4317
"Amblyseius herbicolus"	-28.0857	38.44051
"Amblyseius herbicolus"	-28.05706	38.44077
"Amblyseius herbicolus"	-28.16031	38.4488
"Amblyseius herbicolus"	-28.14886	38.44891
"Amblyseius herbicolus"	-25.4933	37.74192
"Amblyseius herbicolus"	-25.31673	37.77108
"Amblyseius herbicolus"	-25.32231	37.77566
"Amblyseius herbicolus"	-25.5944	37.79725
"Amblyseius herbicolus"	-25.58847	37.8107
"Amblyseius herbicolus"	-25.58279	37.81063
"Amblyseius herbicolus"	-25.8436	37.84051
